# Format: YYYY-MM-DD HH:MM:SS,Label
2025-06-28 12:00:00,Project Deadline1
2025-06-28 15:00:00,Project Deadline2
2025-06-28 23:00:00,Project Deadline3
2025-06-29 09:00:00,Meeting with Team1
2025-06-29 16:00:00,Meeting with Team2
2025-06-29 20:00:00,Meeting with Team3
2025-06-29 23:00:00,Meeting with Team4
2025-07-10 18:30:00,Doctor Appointment1
2025-07-10 18:30:00,Doctor Appointment2
2025-07-10 18:30:00,Doctor Appointment3
2025-07-15 08:00:00,Flight to NYC
2025-08-01 15:00:00,Friend's Birthday
2025-08-10 20:00:00,Anniversary Dinner
